Year;Rank;Name;Citizenship;Country Code;Net Worth Billion;Age;Industry Aggregates;Selfmade;Generation of Inheritance;Type of Wealth;Industry;Relationship to Company;Gender;Source of Wealth;Sector;Company;Company type;Founding Date;Political Connection;GDP Currentus;Region;Notes;Notes 2;Deflator 1996;Real Net Worth;Characteristics
2014;186;Peter Woo;Hong Kong;HKG;7.2;68.0;Financial;inherited;inherited from father;inherited;Real Estate;relation;male;real estate;real estate;Worldwide Shipping Group;new;1955;;;East Asia;inherited from father in law;;;;North,Founder
2014;1092;Pham Nhat Vuong;Vietnam;VNM;1.6;45.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Vingroup;new;1993;;;East Asia;;;138.802093506;1.15272033215;North,Founder,Real Billionaires
2014;113;Philip Anschutz;United States;USA;10.4;74.0;Financial;self-made;;self-made finance;Diversified financial;investor;male;investments;oil, railroad, investments;Circle A Drilling;aquired;1961;;;North America;;;138.802093506;7.49268198013;North,Founder,Real Billionaires
2001;92;Philip Knight;United States;USA;4.30000019073;63.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;;apparel;Nike;new;1964;;10621824000000.0;North America;;;109.114585876;3.94081163406;North,Founder,Real Billionaires
1996;171;Philippe Bouriez;France;FRA;2.09999990463;0.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;;retail;Cora;new;1975;;1614245416080.0;Europe;;;100.000007629;2.09999966621;North,Founder,Real Billionaires
2001;198;Ray Hunt;United States;USA;2.29999995232;58.0;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;;oil;Hunt Oil. Co;new;1934;;10621824000000.0;North America;inherited from father;one of 14 children;109.114585876;2.10787582397;North,Founder,Real Billionaires
2014;1465;Ray Irani;United States;USA;1.1;79.0;Resource Related;self-made;;privatized and resources;Energy;former CEO;male;Oil;oil;Occidental Petroleum;new;1920;;;North America;;;138.802093506;0.792495250702;North,Founder,Real Billionaires
2014;796;Regina de Camargo Pires Oliveira Dias;Brazil;BRA;2.2;60.0;Non-Traded Sectors;inherited;inherited from father;inherited;Constrution;relation;female;construction;construction;Grupo Camargo Correra;new;1939;;;Latin America;inherited from mother;controlling shareholder, along with two other sisters;138.802093506;1.5849905014;North,Founder,Real Billionaires
2001;421;Renato Soru;Italy;ITA;1.20000004768;;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;;internet service company;Tiscali;new;1988;;1162784608500.0;Europe;;;109.114585876;1.09976136684;North,Founder,Real Billionaires
2014;764;Richard Marriott;United States;USA;2.3;75.0;Financial;inherited;inherited from father;inherited;Real Estate;relation;male;hotels;hotels;Marriot;new;1927;;;North America;inherited from father;;138.802093506;1.65703547001;North,Founder,Real Billionaires
2015;1741;Morris Kahn;Israel;ISR;1.0;85.0;New Sectors;;;;Technology-Computer;;;Software;;;;;;;Middle East/North Africa;;;138.802093506;0.720450222492;North,Real Billionaires
2015;;Mustafa Rahmi Koc;Turkey;TUR;1.9;;Financial;;;;Diversified financial;;;Diversified;;;;;;;Middle East/North Africa;;;138.802093506;1.36885547638;North,Real Billionaires
2015;;Najib Mikati;Lebanon;LBN;2.8;;Non-Traded Sectors;;;;Media;;;Telecom;;;;;;;Middle East/North Africa;;;138.802093506;2.01726055145;North,Real Billionaires
2015;341;Nancy Walton Laurie;United States;USA;4.7;63.0;Non-Traded Sectors;;;;Retail, Restaurant;;;Wal-Mart;;;;;;;North America;;;138.802093506;3.38611602783;North,Real Billionaires
2015;;Nancy Walton Laurie;United States;USA;4.0;;Non-Traded Sectors;;;;Retail, Restaurant;;;Wal-Mart;;;;;;;North America;;;138.802093506;2.88180088997;North,Real Billionaires
2015;;Nathan Blecharczyk;United States;USA;3.3;;New Sectors;;;;Technology-Computer;;;Airbnb;;;;;;;North America;;;138.802093506;2.37748575211;North,Real Billionaires
2015;201;Nicky Oppenheimer;South Africa;ZAF;6.7;69.0;Resource Related;;;;Mining and metals;;;Diamonds;;;;;;;Sub-Saharan Africa;;;138.802093506;4.82701635361;North,Real Billionaires
